competency_id,competency_name,domain,parent_competency_id,is_subskill,description,level_1_definition,level_2_definition,level_3_definition,level_4_definition,level_5_definition,related_skills,related_roles,framework_status
TECH-SAS,SAS,Technical Competencies,NULL,N,"Statistical analysis, large administrative datasets","Aware of the existence, purpose and basic terminology of SAS; cannot yet apply it unsupervised.","Can perform simple, well-defined SAS tasks under supervision using standard templates/tools.",Can independently carry out routine SAS tasks and interpret common outputs correctly.,"Can design, adapt and troubleshoot SAS approaches for non-routine problems and guide others.","Recognized subject-matter authority who sets standards, trains others and innovates methodology in SAS.",Data Analytics,Data Analyst,prototype
TECH-GIS,GIS,Technical Competencies,NULL,N,"Spatial statistics, geo-tagged surveys","Aware of the existence, purpose and basic terminology of GIS; cannot yet apply it unsupervised.","Can perform simple, well-defined GIS tasks under supervision using standard templates/tools.",Can independently carry out routine GIS tasks and interpret common outputs correctly.,"Can design, adapt and troubleshoot GIS approaches for non-routine problems and guide others.","Recognized subject-matter authority who sets standards, trains others and innovates methodology in GIS.",Data Analytics,"GIS Analyst, Agricultural Statistics Officer",prototype
TECH-DATAVIZ,Data Visualization,Technical Competencies,NULL,N,"Dashboards, reporting, data storytelling","Aware of the existence, purpose and basic terminology of Data Visualization; cannot yet apply it unsupervised.","Can perform simple, well-defined Data Visualization tasks under supervision using standard templates/tools.",Can independently carry out routine Data Visualization tasks and interpret common outputs correctly.,"Can design, adapt and troubleshoot Data Visualization approaches for non-routine problems and guide others.","Recognized subject-matter authority who sets standards, trains others and innovates methodology in Data Visualization.",Data Analytics,"Data Analyst, Communications Officer",prototype
TECH-AIML,AI/ML,Technical Competencies,NULL,N,"Machine learning, big data, generative AI","Aware of the existence, purpose and basic terminology of AI/ML; cannot yet apply it unsupervised.","Can perform simple, well-defined AI/ML tasks under supervision using standard templates/tools.",Can independently carry out routine AI/ML tasks and interpret common outputs correctly.,"Can design, adapt and troubleshoot AI/ML approaches for non-routine problems and guide others.","Recognized subject-matter authority who sets standards, trains others and innovates methodology in AI/ML.",Data Analytics,"AI Practitioner, Data Scientist",prototype
TECH-CLOUD,Cloud Computing,Technical Competencies,NULL,N,"Government cloud, data infrastructure","Aware of the existence, purpose and basic terminology of Cloud Computing; cannot yet apply it unsupervised.","Can perform simple, well-defined Cloud Computing tasks under supervision using standard templates/tools.",Can independently carry out routine Cloud Computing tasks and interpret common outputs correctly.,"Can design, adapt and troubleshoot Cloud Computing approaches for non-routine problems and guide others.","Recognized subject-matter authority who sets standards, trains others and innovates methodology in Cloud Computing.",Data Analytics,"IT Officer, Cloud Administrator",prototype
TECH-API,APIs,Technical Competencies,NULL,N,"System integration, data interoperability","Aware of the existence, purpose and basic terminology of APIs; cannot yet apply it unsupervised.","Can perform simple, well-defined APIs tasks under supervision using standard templates/tools.",Can independently carry out routine APIs tasks and interpret common outputs correctly.,"Can design, adapt and troubleshoot APIs approaches for non-routine problems and guide others.","Recognized subject-matter authority who sets standards, trains others and innovates methodology in APIs.",Data Analytics,"Software Developer, Systems Integrator",prototype
TECH-OPENDATA,Open Data,Technical Competencies,NULL,N,Open government data publishing and portals,"Aware of the existence, purpose and basic terminology of Open Data; cannot yet apply it unsupervised.","Can perform simple, well-defined Open Data tasks under supervision using standard templates/tools.",Can independently carry out routine Open Data tasks and interpret common outputs correctly.,"Can design, adapt and troubleshoot Open Data approaches for non-routine problems and guide others.","Recognized subject-matter authority who sets standards, trains others and innovates methodology in Open Data.",Data Analytics,Open Data Officer,prototype
TECH-PYTHON-FUND,Python Fundamentals,Technical Competencies,TECH-PYTHON,Y,"Core Python syntax, control flow, data types.","Aware of the existence, purpose and basic terminology of Python Fundamentals; cannot yet apply it unsupervised.","Can perform simple, well-defined Python Fundamentals tasks under supervision using standard templates/tools.",Can independently carry out routine Python Fundamentals tasks and interpret common outputs correctly.,"Can design, adapt and troubleshoot Python Fundamentals approaches for non-routine problems and guide others.","Recognized subject-matter authority who sets standards, trains others and innovates methodology in Python Fundamentals.",Derived subskill of TECH-PYTHON,"Data Analyst, AI Practitioner",prototype
TECH-PYTHON-NUMPY,NumPy,Technical Competencies,TECH-PYTHON,Y,Numerical array computing in Python.,"Aware of the existence, purpose and basic terminology of NumPy; cannot yet apply it unsupervised.","Can perform simple, well-defined NumPy tasks under supervision using standard templates/tools.",Can independently carry out routine NumPy tasks and interpret common outputs correctly.,"Can design, adapt and troubleshoot NumPy approaches for non-routine problems and guide others.","Recognized subject-matter authority who sets standards, trains others and innovates methodology in NumPy.",Derived subskill of TECH-PYTHON,"Data Analyst, AI Practitioner",prototype
TECH-PYTHON-PANDAS,Pandas,Technical Competencies,TECH-PYTHON,Y,Tabular data manipulation in Python.,"Aware of the existence, purpose and basic terminology of Pandas; cannot yet apply it unsupervised.","Can perform simple, well-defined Pandas tasks under supervision using standard templates/tools.",Can independently carry out routine Pandas tasks and interpret common outputs correctly.,"Can design, adapt and troubleshoot Pandas approaches for non-routine problems and guide others.","Recognized subject-matter authority who sets standards, trains others and innovates methodology in Pandas.",Derived subskill of TECH-PYTHON,"Data Analyst, AI Practitioner",prototype
TECH-PYTHON-DATACLEAN,Data Cleaning (Python),Technical Competencies,TECH-PYTHON,Y,Handling missing/inconsistent data in Python.,"Aware of the existence, purpose and basic terminology of Data Cleaning (Python); cannot yet apply it unsupervised.","Can perform simple, well-defined Data Cleaning (Python) tasks under supervision using standard templates/tools.",Can independently carry out routine Data Cleaning (Python) tasks and interpret common outputs correctly.,"Can design, adapt and troubleshoot Data Cleaning (Python) approaches for non-routine problems and guide others.","Recognized subject-matter authority who sets standards, trains others and innovates methodology in Data Cleaning (Python).",Derived subskill of TECH-PYTHON,"Data Analyst, AI Practitioner",prototype
TECH-PYTHON-STATPROG,Statistical Programming (Python),Technical Competencies,TECH-PYTHON,Y,Implementing statistical methods in Python.,"Aware of the existence, purpose and basic terminology of Statistical Programming (Python); cannot yet apply it unsupervised.","Can perform simple, well-defined Statistical Programming (Python) tasks under supervision using standard templates/tools.",Can independently carry out routine Statistical Programming (Python) tasks and interpret common outputs correctly.,"Can design, adapt and troubleshoot Statistical Programming (Python) approaches for non-routine problems and guide others.","Recognized subject-matter authority who sets standards, trains others and innovates methodology in Statistical Programming (Python).",Derived subskill of TECH-PYTHON,"Data Analyst, AI Practitioner",prototype
TECH-PYTHON-VIZ,Visualization (Python),Technical Competencies,TECH-PYTHON,Y,Chart/plot generation using Python libraries.,"Aware of the existence, purpose and basic terminology of Visualization (Python); cannot yet apply it unsupervised.","Can perform simple, well-defined Visualization (Python) tasks under supervision using standard templates/tools.",Can independently carry out routine Visualization (Python) tasks and interpret common outputs correctly.,"Can design, adapt and troubleshoot Visualization (Python) approaches for non-routine problems and guide others.","Recognized subject-matter authority who sets standards, trains others and innovates methodology in Visualization (Python).",Derived subskill of TECH-PYTHON,"Data Analyst, AI Practitioner",prototype
TECH-AIML-ML,Machine Learning Fundamentals,Technical Competencies,TECH-AIML,Y,Core supervised/unsupervised ML concepts.,"Aware of the existence, purpose and basic terminology of Machine Learning Fundamentals; cannot yet apply it unsupervised.","Can perform simple, well-defined Machine Learning Fundamentals tasks under supervision using standard templates/tools.",Can independently carry out routine Machine Learning Fundamentals tasks and interpret common outputs correctly.,"Can design, adapt and troubleshoot Machine Learning Fundamentals approaches for non-routine problems and guide others.","Recognized subject-matter authority who sets standards, trains others and innovates methodology in Machine Learning Fundamentals.",Derived subskill of TECH-AIML,"Data Analyst, AI Practitioner",prototype
TECH-AIML-GENAI,Generative AI / LLMs,Technical Competencies,TECH-AIML,Y,Large language models and generative AI applications.,"Aware of the existence, purpose and basic terminology of Generative AI / LLMs; cannot yet apply it unsupervised.","Can perform simple, well-defined Generative AI / LLMs tasks under supervision using standard templates/tools.",Can independently carry out routine Generative AI / LLMs tasks and interpret common outputs correctly.,"Can design, adapt and troubleshoot Generative AI / LLMs approaches for non-routine problems and guide others.","Recognized subject-matter authority who sets standards, trains others and innovates methodology in Generative AI / LLMs.",Derived subskill of TECH-AIML,"Data Analyst, AI Practitioner",prototype
TECH-AIML-BIGDATA,Big Data & Data Mining,Technical Competencies,TECH-AIML,Y,"Big data processing, warehousing, mining techniques.","Aware of the existence, purpose and basic terminology of Big Data & Data Mining; cannot yet apply it unsupervised.","Can perform simple, well-defined Big Data & Data Mining tasks under supervision using standard templates/tools.",Can independently carry out routine Big Data & Data Mining tasks and interpret common outputs correctly.,"Can design, adapt and troubleshoot Big Data & Data Mining approaches for non-routine problems and guide others.","Recognized subject-matter authority who sets standards, trains others and innovates methodology in Big Data & Data Mining.",Derived subskill of TECH-AIML,"Data Analyst, AI Practitioner",prototype
DGOV-CYBER,Cybersecurity,Digital Governance,NULL,N,Protection of government digital systems and data from cyber threats.,"Aware of the existence, purpose and basic terminology of Cybersecurity; cannot yet apply it unsupervised.","Can perform simple, well-defined Cybersecurity tasks under supervision using standard templates/tools.",Can independently carry out routine Cybersecurity tasks and interpret common outputs correctly.,"Can design, adapt and troubleshoot Cybersecurity approaches for non-routine problems and guide others.","Recognized subject-matter authority who sets standards, trains others and innovates methodology in Cybersecurity.","Cyber Hygiene, CERT-In protocols",IT Security Officer,prototype
DGOV-PRIVACY,Data Privacy,Digital Governance,NULL,N,Application of data protection law (e.g. DPDP Act 2023) to personal data handling.,"Aware of the existence, purpose and basic terminology of Data Privacy; cannot yet apply it unsupervised.","Can perform simple, well-defined Data Privacy tasks under supervision using standard templates/tools.",Can independently carry out routine Data Privacy tasks and interpret common outputs correctly.,"Can design, adapt and troubleshoot Data Privacy approaches for non-routine problems and guide others.","Recognized subject-matter authority who sets standards, trains others and innovates methodology in Data Privacy.",Data Governance,Data Protection Officer,prototype
DGOV-DSIG,Digital Signatures,Digital Governance,NULL,N,Use and administration of digital signature certificates in e-governance workflows.,"Aware of the existence, purpose and basic terminology of Digital Signatures; cannot yet apply it unsupervised.","Can perform simple, well-defined Digital Signatures tasks under supervision using standard templates/tools.",Can independently carry out routine Digital Signatures tasks and interpret common outputs correctly.,"Can design, adapt and troubleshoot Digital Signatures approaches for non-routine problems and guide others.","Recognized subject-matter authority who sets standards, trains others and innovates methodology in Digital Signatures.",e-Office,Administrative Officer,prototype
DGOV-CLOUD,Government Cloud,Digital Governance,NULL,N,Use and administration of government cloud infrastructure (e.g. MeghRaj).,"Aware of the existence, purpose and basic terminology of Government Cloud; cannot yet apply it unsupervised.","Can perform simple, well-defined Government Cloud tasks under supervision using standard templates/tools.",Can independently carry out routine Government Cloud tasks and interpret common outputs correctly.,"Can design, adapt and troubleshoot Government Cloud approaches for non-routine problems and guide others.","Recognized subject-matter authority who sets standards, trains others and innovates methodology in Government Cloud.",Cloud Computing,Cloud Administrator,prototype
DGOV-DPI,Digital Public Infrastructure,Digital Governance,NULL,N,"Understanding and use of DPI (Aadhaar, UPI, DigiLocker, ONDC-type stacks) for service delivery.","Aware of the existence, purpose and basic terminology of Digital Public Infrastructure; cannot yet apply it unsupervised.","Can perform simple, well-defined Digital Public Infrastructure tasks under supervision using standard templates/tools.",Can independently carry out routine Digital Public Infrastructure tasks and interpret common outputs correctly.,"Can design, adapt and troubleshoot Digital Public Infrastructure approaches for non-routine problems and guide others.","Recognized subject-matter authority who sets standards, trains others and innovates methodology in Digital Public Infrastructure.","APIs, Open Data",Digital Governance Officer,prototype
BM-LEADERSHIP,Leadership,Behavioural / Managerial,NULL,N,"Ability to lead, motivate and manage teams in a public-service context.","Aware of the existence, purpose and basic terminology of Leadership; cannot yet apply it unsupervised.","Can perform simple, well-defined Leadership tasks under supervision using standard templates/tools.",Can independently carry out routine Leadership tasks and interpret common outputs correctly.,"Can design, adapt and troubleshoot Leadership approaches for non-routine problems and guide others.","Recognized subject-matter authority who sets standards, trains others and innovates methodology in Leadership.","Change Management, Decision Making",Officer at any supervisory level,prototype
BM-COMM,Communication,Behavioural / Managerial,NULL,N,"Effective written and verbal communication, including presentation and drafting.","Aware of the existence, purpose and basic terminology of Communication; cannot yet apply it unsupervised.","Can perform simple, well-defined Communication tasks under supervision using standard templates/tools.",Can independently carry out routine Communication tasks and interpret common outputs correctly.,"Can design, adapt and troubleshoot Communication approaches for non-routine problems and guide others.","Recognized subject-matter authority who sets standards, trains others and innovates methodology in Communication.","Public Speaking, Noting & Drafting",All civil service roles,prototype
BM-PM,Project Management,Behavioural / Managerial,NULL,N,"Planning, execution and monitoring of government projects and programmes.","Aware of the existence, purpose and basic terminology of Project Management; cannot yet apply it unsupervised.","Can perform simple, well-defined Project Management tasks under supervision using standard templates/tools.",Can independently carry out routine Project Management tasks and interpret common outputs correctly.,"Can design, adapt and troubleshoot Project Management approaches for non-routine problems and guide others.","Recognized subject-matter authority who sets standards, trains others and innovates methodology in Project Management.",Monitoring & Evaluation,Project Officer,prototype
BM-ETHICS,Ethics,Behavioural / Managerial,NULL,N,"Application of ethical principles, integrity and probity in public service.","Aware of the existence, purpose and basic terminology of Ethics; cannot yet apply it unsupervised.","Can perform simple, well-defined Ethics tasks under supervision using standard templates/tools.",Can independently carry out routine Ethics tasks and interpret common outputs correctly.,"Can design, adapt and troubleshoot Ethics approaches for non-routine problems and guide others.","Recognized subject-matter authority who sets standards, trains others and innovates methodology in Ethics.","Data Governance, Integrity",All civil service roles,prototype
BM-DECISION,Decision Making,Behavioural / Managerial,NULL,N,"Structured, evidence-based decision making in administrative contexts.","Aware of the existence, purpose and basic terminology of Decision Making; cannot yet apply it unsupervised.","Can perform simple, well-defined Decision Making tasks under supervision using standard templates/tools.",Can independently carry out routine Decision Making tasks and interpret common outputs correctly.,"Can design, adapt and troubleshoot Decision Making approaches for non-routine problems and guide others.","Recognized subject-matter authority who sets standards, trains others and innovates methodology in Decision Making.",Evidence Based Policy Making,Officer at any supervisory level,prototype
BM-CHANGE,Change Management,Behavioural / Managerial,NULL,N,Managing organisational and process change in government settings.,"Aware of the existence, purpose and basic terminology of Change Management; cannot yet apply it unsupervised.","Can perform simple, well-defined Change Management tasks under supervision using standard templates/tools.",Can independently carry out routine Change Management tasks and interpret common outputs correctly.,"Can design, adapt and troubleshoot Change Management approaches for non-routine problems and guide others.","Recognized subject-matter authority who sets standards, trains others and innovates methodology in Change Management.",Leadership,Officer at any supervisory level,prototype
