programme_id,id_type,programme_name,training_category,topic,description,learning_objectives,target_participants,eligibility,duration,batch_size,venue,institute,training_mode,training_year,schedule,recommended_by_TPAC,source_document,source_page,source_url
NSSTA-PROT-001,internal_prototype_id,Survey Methodology and Data Analysis,ISS Probationary Training,Survey Methodology and Data Analysis,NULL,NULL,ISS (P)-46th Batch (2024),NULL,5 day(s),28,NULL,"ISI, Kolkata",Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk1-2,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-020,internal_prototype_id,Industrial Statistics & Trade Statistics,ISS Probationary Training,Industrial Statistics & Trade Statistics,NULL,NULL,ISS (P)-47th Batch (2025),NULL,5 day(s),31,NULL,NSSTA,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk9,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-021,internal_prototype_id,Official Statistics & Scope in this Field,University Outreach Workshop,Official Statistics & Scope in this Field,NULL,NULL,University Students,NULL,1 day(s),100,NULL,University Campus (TBD),Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk10,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-022,internal_prototype_id,Effective Noting and Drafting,SSS Half-day Online Workshop,Effective Noting and Drafting,NULL,NULL,"SSOs, JSOs and field staff",NULL,Half day / 1 day,200-1000,NULL,NSSTA,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk10,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-023,internal_prototype_id,"Application of GIS, Forest Statistics & Data Tools",ISS Probationary Training,"Application of GIS, Forest Statistics & Data Tools",NULL,NULL,ISS (P)-47th Batch (2025),NULL,5 day(s),31,NULL,"IIRS & FSI, Dehradun",Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk10,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-024,internal_prototype_id,GFR: Procurement of Goods & Services,SSS In-Service Training,GFR: Procurement of Goods & Services,NULL,NULL,SSOs,NULL,5 day(s),25,NULL,"AJ-NIFM, Faridabad",Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk10,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-025,internal_prototype_id,Public Speaking,SSS Half-day Online Workshop,Public Speaking,NULL,NULL,"SSOs, JSOs and field staff",NULL,Half day / 1 day,200-1000,NULL,NSSTA,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk10,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-026,internal_prototype_id,"Activities of Labour Bureau, NAAA & SIHFW (interaction with IA&AS)",ISS Probationary Training,"Activities of Labour Bureau, NAAA & SIHFW (interaction with IA&AS)",NULL,NULL,ISS (P)-47th Batch (2025),NULL,5 day(s),31,NULL,"Labour Bureau, Chandigarh / NAAA / SIHFW, Shimla",Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk11,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-027,internal_prototype_id,Sampling Techniques & Large-Scale Sample Surveys,DES Training Programme,Sampling Techniques & Large-Scale Sample Surveys,NULL,NULL,DES Officers,NULL,5 day(s),30,NULL,NSSTA,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk11,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-028,internal_prototype_id,Cyber Security,SSS Half-day Online Workshop,Cyber Security,NULL,NULL,"SSOs, JSOs and field staff",NULL,Half day / 1 day,200-1000,NULL,NSSTA,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk11,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-029,internal_prototype_id,Monitoring & Evaluation,ISS Probationary Training,Monitoring & Evaluation,NULL,NULL,ISS (P)-46th Batch (2024),NULL,5 day(s),28,NULL,"ASCI, Hyderabad / NITI Aayog / NSSTA",Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk11,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-030,internal_prototype_id,Communication & Presentation Skills,ISS Probationary Training,Communication & Presentation Skills,NULL,NULL,ISS (P)-47th Batch (2025),NULL,5 day(s),31,NULL,"IIPA, New Delhi / IIMC / British Council",Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk11,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-031,internal_prototype_id,"Design, Evaluation and Execution of Projects",MCTP Phase 2 Stage-I,"Design, Evaluation and Execution of Projects",NULL,NULL,ISS officers (15-19 yrs service),NULL,5 day(s),25,NULL,IIM-Kozhikode / IIT / IIM,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk12,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-032,internal_prototype_id,ChatGPT (Overview),SSS Half-day Online Workshop,ChatGPT (Overview),NULL,NULL,"SSOs, JSOs and field staff",NULL,Half day / 1 day,200-1000,NULL,NSSTA,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk12,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-033,internal_prototype_id,"Data Ethics, Governance, and Quality in a Changing Data Ecosystem",UN SIAP Regional/National Workshop,"Data Ethics, Governance, and Quality in a Changing Data Ecosystem",NULL,NULL,State DES Officers / International,NULL,5 day(s),30,NULL,NSSTA,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk13,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-034,internal_prototype_id,Poverty & Inequality Estimation,ISS Probationary Training,Poverty & Inequality Estimation,NULL,NULL,ISS (P)-46th Batch (2024),NULL,5 day(s),28,NULL,"NSSTA / NIRD & PR, Hyderabad",Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk13,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-035,internal_prototype_id,Leadership and Management Training Programme,ISS Probationary Training,Leadership and Management Training Programme,NULL,NULL,ISS (P)-47th Batch (2025),NULL,5 day(s),31,NULL,IIMs,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk13,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-036,internal_prototype_id,Official Statistics (Awareness for Faculty),Awareness Programme for HoD/Faculty of Statistics,Official Statistics (Awareness for Faculty),NULL,NULL,HoD/Faculty of Statistics Dept.,NULL,5 day(s),30,NULL,NSSTA,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk13,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-037,internal_prototype_id,Advanced Management Programme,MCTP Phase 2 Stage-II,Advanced Management Programme,NULL,NULL,ISS officers (15-19 yrs service),NULL,5 day(s),25,NULL,IIM-Kozhikode / IIT / IIM,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk13,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-038,internal_prototype_id,Overview of Big Data & AI/ML,SSS Half-day Online Workshop,Overview of Big Data & AI/ML,NULL,NULL,"SSOs, JSOs and field staff",NULL,Half day / 1 day,200-1000,NULL,NSSTA,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk13,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-039,internal_prototype_id,National Security / Internal Security and Forensic Science,ISS Probationary Training,National Security / Internal Security and Forensic Science,NULL,NULL,ISS (P)-46th & 47th Batch,NULL,5 day(s),28-31,NULL,"SVPNPA, Hyderabad / BPR&D / NTIPRIT",Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk14,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-040,internal_prototype_id,Managing Budgets and Monitoring Plans,ISS Probationary Training,Managing Budgets and Monitoring Plans,NULL,NULL,ISS (P)-47th Batch (2025),NULL,5 day(s),31,NULL,"AJNIFM, Faridabad",Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk14,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-041,internal_prototype_id,"Basic Statistics, Official Statistics, Survey Methodology and Behavioural/Functional Competencies",SSS Induction Training,"Basic Statistics, Official Statistics, Survey Methodology and Behavioural/Functional Competencies",NULL,NULL,JSOs,NULL,5 day(s),35,NULL,NSSTA,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk14 (recurring),Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-042,internal_prototype_id,Communication Skill & Development,SSS In-Service Training,Communication Skill & Development,NULL,NULL,SSOs,NULL,5 day(s),25,NULL,DES Kerala / DES Odisha / DES Tripura,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk14 (recurring),Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-043,internal_prototype_id,Data Analytics & Visualization,SSS Half-day Online Workshop,Data Analytics & Visualization,NULL,NULL,"SSOs, JSOs and field staff",NULL,Half day / 1 day,200-1000,NULL,NSSTA,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk15,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-044,internal_prototype_id,Time Series and Applied Econometrics,ISS Probationary Training,Time Series and Applied Econometrics,NULL,NULL,ISS (P)-46th Batch (2024),NULL,5 day(s),28,NULL,"ISEC, Bengaluru",Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk15-16,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-045,internal_prototype_id,Technological Skills: Basic & Advance IT including NSS Data Extraction,ISS Probationary Training,Technological Skills: Basic & Advance IT including NSS Data Extraction,NULL,NULL,ISS (P)-47th Batch (2025),NULL,5 day(s),31,NULL,NSSTA through CDAC/CC,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk15-16,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-046,internal_prototype_id,Collection of Statistics (CoS) Act,SSS Half-day Online Workshop,Collection of Statistics (CoS) Act,NULL,NULL,"SSOs, JSOs and field staff",NULL,Half day / 1 day,200-1000,NULL,NSSTA,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk16,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-047,internal_prototype_id,"Professional Skills Development, Business Module, Presentation, Influence & Persuasion",DSTP (In-Service ISS Officers),"Professional Skills Development, Business Module, Presentation, Influence & Persuasion",NULL,NULL,In-Service ISS Officers,NULL,5 day(s),25,NULL,NSSTA,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk17,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-048,internal_prototype_id,NSSO (FOD) Attachment,ISS Probationary Training,NSSO (FOD) Attachment,NULL,NULL,ISS (P)-46th Batch (2024),NULL,5 day(s),28,NULL,Various ZOs / ROs / SROs,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk17-18,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-049,internal_prototype_id,e-Office (Hands-on Practice),SSS In-Service Training,e-Office (Hands-on Practice),NULL,NULL,JSOs / SSOs,NULL,5 day(s),25,NULL,ISTM / NIC / NSSTA,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk18-19,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-050,internal_prototype_id,"Data Analysis, Interpretation and Visualization using R",ISS Probationary Training,"Data Analysis, Interpretation and Visualization using R",NULL,NULL,ISS (P)-47th Batch (2025),NULL,5 day(s),31,NULL,"IASRI, New Delhi",Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk19,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-051,internal_prototype_id,Leadership and Strategic Management,MCTP Phase 3 Stage-I,Leadership and Strategic Management,NULL,NULL,ISS officers (23-28 yrs service),NULL,5 day(s),25,NULL,IIM Ahmedabad,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk19,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-052,internal_prototype_id,State DES Attachment,ISS Probationary Training,State DES Attachment,NULL,NULL,ISS (P)-46th Batch (2024),NULL,4 day(s),28,NULL,Various State DES,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk20,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-053,internal_prototype_id,Price Statistics (DES Programme),DES Training Programme,Price Statistics (DES Programme),NULL,NULL,DES Officers,NULL,5 day(s),30,NULL,NSSTA,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk20,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-054,internal_prototype_id,Population and Demography & Miscellaneous Statistics,ISS Probationary Training,Population and Demography & Miscellaneous Statistics,NULL,NULL,ISS (P)-47th Batch (2025),NULL,5 day(s),31,NULL,NSSTA,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk21,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
